Songs,Artist,Last Week,Peak Position,Week On Chart
Seven,Jung Kook Featuring Latto,-,1,1
Try That In A Small Town,Jason Aldean,-,2,1
LaLa,Myke Towers,3,3,3
Vampire,Olivia Rodrigo,1,1,3
Super Shy,NewJeans,2,2,2
Fukumean,Gunna,7,6,5
Cruel Summer,Taylor Swift,5,3,18
Flowers,Miley Cyrus,6,1,27
Calm Down,Rema & Selena Gomez,8,3,55
La Bebe,Yng Lvcas x Peso Pluma,9,2,21
Last Night,Morgan Wallen,15,5,25
Cupid,Fifty Fifty,12,2,19
Ella Baila Sola,Eslabon Armado X Peso Pluma,14,1,18
Sprinter,Dave & Central Cee,18,9,7
Where She Goes,Bad Bunny,16,1,9
Un x100to,Grupo Frontera X Bad Bunny,17,1,14
Idol,YOASOBI,21,7,14
What Was I Made For?,Billie Eilish,-,18,1
Die For You,The Weeknd & Ariana Grande,19,2,72
As It Was,Harry Styles,22,1,68
Fast Car,Luke Combs,26,18,17
Daylight,David Kushner,23,11,14
Kill Bill,SZA,27,1,32
Columbia,Quevedo,39,24,2
I Can See You (Taylor’s Version) (From The Vault),Taylor Swift,4,4,2
Anti-Hero,Taylor Swift,29,1,39
Dance The Night,Dua Lipa,46,23,8
Barbie World,Nicki Minaj & Ice Spice With Aqua,61,12,4
Like Crazy,Jimin,57,2,17
I'm Good (Blue),David Guetta & Bebe Rexha,34,2,47
Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H",41,14,4
Classy 101,Feid x Young Miko,40,17,16
Sabor Fresa,Fuerza Regida,35,16,4
Rush,Troye Sivan,-,34,1
Tulum,Peso Pluma & Grupo Frontera,42,25,3
Popular,"The Weeknd, Playboi Carti & Madonna",44,20,7
Save Your Tears,The Weeknd & Ariana Grande,51,1,133
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,43,20,150
All My Life,Lil Durk Featuring J. Cole,38,7,10
I Ain't Worried,OneRepublic,47,5,59
"Bzrp Music Sessions, Vol. 55",Bizarrap & Peso Pluma,45,2,8
TQG,Karol G x Shakira,48,1,21
S91,Karol G,-,43,1
People,Libianca,50,20,27
